label	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Source	Hybrid Capture Sequencing
HS172T_URINARY_TRACT	Hs 172.T		M	urinary_tract	carcinoma	NS	ATCC	yes
SKNDZ_AUTONOMIC_GANGLIA	SK-N-DZ		F	autonomic_ganglia	neuroblastoma	NS	ATCC	yes
VCAP_PROSTATE	VCaP		M	prostate	carcinoma	adenocarcinoma	ATCC	yes
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMM-Lee			central_nervous_system	meningioma	NS	Academic Lab / Achilles	
HCC2108_LUNG	HCC-2108		M	lung	carcinoma	adenocarcinoma	KCLB	yes
SKUT1_SOFT_TISSUE	SK-UT-1		F	soft_tissue	leiomyosarcoma	NS	ATCC	yes
U2OS_BONE	U-2 OS		F	bone	osteosarcoma	NS	ATCC	yes
NCIH1781_LUNG	NCI-H1781	H1781	F	lung	carcinoma	bronchioloalveolar_adenocarcinoma	ATCC	yes
MDAMB453_BREAST	MDA-MB-453		F	breast	carcinoma	NS	ATCC	yes
OUMS23_LARGE_INTESTINE	OUMS-23			large_intestine	carcinoma	adenocarcinoma	HSRRB	yes
VMCUB1_URINARY_TRACT	VM-CUB1		M	urinary_tract	carcinoma	transitional_cell_carcinoma	DSMZ	yes
FUOV1_OVARY	FU-OV-1		F	ovary	carcinoma	serous_carcinoma	DSMZ	yes
NCIH2444_LUNG	NCI-H2444	H2444	M	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
NIHOVCAR3_OVARY	NIH:OVCAR-3	NCI:OVCAR-3 | OVCAR-3	F	ovary	carcinoma	NS	ATCC	yes
LS123_LARGE_INTESTINE	LS123		F	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
KS1_CENTRAL_NERVOUS_SYSTEM	KS-1		F	central_nervous_system	glioma	astrocytoma_Grade_IV	HSRRB	yes
DV90_LUNG	DV-90		M	lung	carcinoma	adenocarcinoma	DSMZ	yes
SKMEL2_SKIN	SK-MEL-2		M	skin	malignant_melanoma	NS	ATCC	yes
769P_KIDNEY	769-P		F	kidney	carcinoma	clear_cell_renal_cell_carcinoma	ATCC	yes
FU97_STOMACH	FU97		F	stomach	carcinoma	diffuse_adenocarcinoma	HSRRB	yes
EW8_BONE	EW8			bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Academic Lab / Achilles	
NCIH596_LUNG	NCI-H596	H596	M	lung	carcinoma	mixed_adenosquamous_carcinoma	ATCC	yes
TE15_OESOPHAGUS	TE-15		F	oesophagus	carcinoma	squamous_cell_carcinoma	RIKEN	
WM115_SKIN	WM-115		F	skin	malignant_melanoma	NS	ATCC	yes
NCIH2141_LUNG	NCI-H2141	H2141	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-3		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	DSMZ	yes
HCC1833_LUNG	HCC-1833			lung	carcinoma	adenocarcinoma	KCLB	yes
SKMES1_LUNG	SK-MES-1		M	lung	carcinoma	squamous_cell_carcinoma	ATCC	yes
HS888T_BONE	Hs 888.T		M	bone	osteosarcoma	NS	ATCC	yes
COLO205_LARGE_INTESTINE	COLO 205		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
HS834T_SKIN	Hs 834.T		F	skin	malignant_melanoma	NS	ATCC	yes
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86			haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	HSRRB	
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-26		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	HSRRB	yes
YAPC_PANCREAS	YAPC		M	pancreas	carcinoma	NS	DSMZ	yes
LN319_CENTRAL_NERVOUS_SYSTEM	LN-319	LN319		central_nervous_system	glioma	astrocytoma_Grade_III	Academic Lab / Achilles	
SJSA1_BONE	SJSA-1		M	bone	osteosarcoma	NS	ATCC	yes
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	HSRRB	yes
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA		M	central_nervous_system	glioma	astrocytoma_Grade_IV	DSMZ	yes
DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG		F	central_nervous_system	glioma	astrocytoma_Grade_IV	DSMZ	yes
NCIH2126_LUNG	NCI-H2126	H2126	M	lung	carcinoma	adenocarcinoma	ATCC	yes
TC32_BONE	TC-32			bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Academic Lab / Achilles	
LU65_LUNG	LU65		M	lung	carcinoma	non_small_cell_carcinoma	HSRRB	yes
NCIH1339_LUNG	NCI-H1339	H-1339 | H1339	F	lung	carcinoma	small_cell_carcinoma	ATCC	yes
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL-1		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
SNU46_UPPER_AERODIGESTIVE_TRACT	SNU-46	NCI-SNU-46	M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	KCLB	yes
QGP1_PANCREAS	QGP-1			pancreas	carcinoma	NS	HSRRB	yes
LN464_CENTRAL_NERVOUS_SYSTEM	LN-464	LN464		central_nervous_system	glioma	astrocytoma_Grade_IV	Academic Lab / Achilles	
SF767_CENTRAL_NERVOUS_SYSTEM	SF767			central_nervous_system	glioma	astrocytoma_Grade_III	Academic Lab / Achilles	
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM-2		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	DSMZ	yes
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Ishikawa (Heraklio) 02 ER-		F	endometrium	carcinoma	adenocarcinoma	ECACC	yes
NCIH1693_LUNG	NCI-H1693	H1693	F	lung	carcinoma	adenocarcinoma	ATCC	yes
LOUNH91_LUNG	LOU-NH91		F	lung	carcinoma	squamous_cell_carcinoma	DSMZ	yes
DMS454_LUNG	DMS 454		M	lung	carcinoma	small_cell_carcinoma	ECACC	yes
JHH5_LIVER	JHH-5		M	liver	carcinoma	hepatocellular_carcinoma	HSRRB	yes
LC1F_LUNG	LC-1F		M	lung	carcinoma	squamous_cell_carcinoma	RIKEN	yes
KMRC3_KIDNEY	KMRC-3			kidney	carcinoma	clear_cell_renal_cell_carcinoma	HSRRB	yes
HSC4_UPPER_AERODIGESTIVE_TRACT	HSC-4		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	HSRRB	yes
NCIH3255_LUNG	NCI-H3255	H3255	F	lung	carcinoma	adenocarcinoma	Academic Lab	yes
EPLC272H_LUNG	EPLC-272H		M	lung	carcinoma	squamous_cell_carcinoma	DSMZ	yes
A172_CENTRAL_NERVOUS_SYSTEM	A172		M	central_nervous_system	glioma	astrocytoma_Grade_IV	ATCC	yes
SU8686_PANCREAS	SU.86.86		F	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
NCIH146_LUNG	NCI-H146	H146	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
LMSU_STOMACH	LMSU			stomach	carcinoma	adenocarcinoma	RIKEN	yes
RL952_ENDOMETRIUM	RL95-2		F	endometrium	carcinoma	mixed_adenosquamous_carcinoma	ATCC	yes
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRANTA-519		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	DSMZ	yes
SNU16_STOMACH	SNU-16	NCI-SNU-16	F	stomach	carcinoma	undifferentiated_adenocarcinoma	ATCC	
HEC6_ENDOMETRIUM	HEC-6		F	endometrium	carcinoma	adenocarcinoma	HSRRB	yes
TCCPAN2_PANCREAS	TCC-PAN2		F	pancreas	carcinoma	NS	HSRRB	yes
D341MED_CENTRAL_NERVOUS_SYSTEM	D341 Med		M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	ATCC	yes
NCIH1836_LUNG	NCI-H1836	H1836	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
HS706T_BONE	Hs 706.T		F	bone	giant_cell_tumour	NS	ATCC	yes
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURKAT		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	
HUCCT1_BILIARY_TRACT	HuCCT1		M	biliary_tract	carcinoma	NS	HSRRB	yes
NCIH1568_LUNG	NCI-H1568	H1568	F	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
JL1_PLEURA	JL-1		M	pleura	mesothelioma	NS	DSMZ	yes
RCM1_LARGE_INTESTINE	RCM-1			large_intestine	carcinoma	adenocarcinoma	HSRRB	yes
HCT116_LARGE_INTESTINE	HCT 116		M	large_intestine	carcinoma	NS	ATCC	yes
COLO792_SKIN	COLO 792		M	skin	malignant_melanoma	NS	ECACC	yes
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC-2		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	HSRRB	yes
CAL62_THYROID	CAL-62		F	thyroid	carcinoma	anaplastic_carcinoma	DSMZ	yes
MFE280_ENDOMETRIUM	MFE-280		F	endometrium	carcinoma	adenocarcinoma	DSMZ	yes
SNU81_LARGE_INTESTINE	SNU-81	NCI-SNU-81	M	large_intestine	carcinoma	NS	KCLB	yes
CHL1_SKIN	CHL-1			skin	malignant_melanoma	NS	ATCC	yes
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA-10		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	ATCC	
COV434_OVARY	COV434		F	ovary	sex_cord-stromal_tumour	granulosa_cell_tumour	ECACC	yes
JHOC5_OVARY	JHOC-5			ovary	carcinoma	clear_cell_carcinoma	RIKEN	yes
ONCODG1_OVARY	ONCO-DG-1		F	ovary	carcinoma	adenocarcinoma	DSMZ	yes
TE9_OESOPHAGUS	TE-9		M	oesophagus	carcinoma	squamous_cell_carcinoma	RIKEN	yes
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA		F	central_nervous_system	glioma	astrocytoma_Grade_IV	DSMZ	yes
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI-8402		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	yes
HS737T_BONE	Hs 737.T		F	bone	other	giant_cell_tumour	ATCC	yes
CAL78_BONE	CAL-78		M	bone	chondrosarcoma	dedifferentiated	DSMZ	yes
S117_SOFT_TISSUE	S-117		F	soft_tissue	sarcoma	NS	DSMZ	yes
HCC1419_BREAST	HCC1419		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JeKo-1		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	DSMZ	yes
KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C		M	central_nervous_system	glioma	astrocytoma_Grade_IV	HSRRB	
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY-19		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
TE125T_SOFT_TISSUE	TE 125.T		F	soft_tissue	rhabdomyosarcoma	NS	ATCC	yes
ISTMES1_PLEURA	IST-MES1		F	pleura	mesothelioma	NS	ICLC	yes
KMRC1_KIDNEY	KMRC-1		M	kidney	carcinoma	clear_cell_renal_cell_carcinoma	HSRRB	yes
CORL47_LUNG	COR-L47		M	lung	carcinoma	small_cell_carcinoma	ECACC	yes
CJM_SKIN	CJM			skin	malignant_melanoma	NS	RIKEN	yes
HEPG2_LIVER	Hep G2		M	liver	carcinoma	hepatocellular_carcinoma	ATCC	yes
SW480_LARGE_INTESTINE	SW480		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 604.T		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	ATCC	yes
NCIH716_LARGE_INTESTINE	NCI-H716	H716		large_intestine	carcinoma	adenocarcinoma	ATCC	yes
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURL-MK1		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	DSMZ	
HS895T_SKIN	Hs 895.T		F	skin	malignant_melanoma	NS	ATCC	yes
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HPB-ALL		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	yes
AZ521_STOMACH	AZ-521			stomach	carcinoma	NS	HSRRB	
KYSE140_OESOPHAGUS	KYSE-140		M	oesophagus	carcinoma	squamous_cell_carcinoma	DSMZ	yes
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	HSRRB	yes
A2780_OVARY	A2780		F	ovary	carcinoma	adenocarcinoma	ECACC	yes
NCIH2342_LUNG	NCI-H2342	H2342	M	lung	carcinoma	adenocarcinoma	ATCC	yes
HCC1588_LUNG	HCC-1588		F	lung	carcinoma	squamous_cell_carcinoma	KCLB	yes
RERFLCAD2_LUNG	RERF-LC-Ad2		M	lung	carcinoma	adenocarcinoma	HSRRB	yes
HUH7_LIVER	HuH-7		M	liver	carcinoma	hepatocellular_carcinoma	HSRRB	yes
HT1197_URINARY_TRACT	HT-1197		M	urinary_tract	carcinoma	NS	ATCC	
